CREDIT_CARD_EXCEED_MONTHS,EMPLOYMENT_TYPE,LOAN_AMOUNT,LOAN_TENURE_YEAR,MORE_THAN_ONE_PRODUCTS,CREDIT_CARD_TYPES,NUMBER_OF_DEPENDENTS,YEARS_TO_FINANCIAL_FREEDOM,NUMBER_OF_CREDIT_CARD_FACILITY,NUMBER_OF_PROPERTIES,NUMBER_OF_BANK_PRODUCTS,NUMBER_OF_LOAN_TO_APPROVE,PROPERTY_TYPE,YEARS_FOR_PROPERTY_TO_COMPLETION,STATE,NUMBER_OF_SIDE_INCOME,MONTHLY_SALARY,TOTAL_SUM_OF_LOAN,TOTAL_INCOME_FOR_JOIN_APPLICATION,DECISION,SCORE
1,Employer,423875,16,Yes,Platinum,2,5,2,2,1,1,Condominium,10,Johor,2,12262,853141,16025,Reject,7
1,Employer,605505,19,No,Normal,2,15,2,2,1,2,Not Specified,10,Johor,2,9251,882901,17082,Accept,9
1,Employer,448361,15,Yes,Normal,2,5,2,2,2,3,Condominium,10,Johor,2,4919,540489,12613,Reject,8
1,Employer,490216,20,No,Normal,2,5,4,2,1,1,Condominium,10,Johor,1,4459,536727,10952,Accept,9
1,Employer,292728,14,Yes,Normal,2,5,2,2,1,2,Condominium,10,Johor,3,5628,774695,11513,Reject,8
1,Employer,198118,20,No,Normal,2,5,2,2,1,2,Condominium,10,Johor,2,11323,1350187,16349,Reject,7
1,Employer,226681,18,Yes,Gold,2,5,3,2,2,1,Condominium,10,Johor,2,9653,615986,11172,Accept,7
1,Employer,667042,21,No,Normal,2,5,2,2,3,2,Condominium,10,Johor,2,10603,1191243,7543,Reject,8
1,Employer,114428,24,Yes,Normal,2,5,2,2,2,2,Condominium,10,Johor,1,11983,556822,12947,Accept,8
1,Employer,416654,12,No,Gold,2,5,2,2,1,1,Condominium,10,Johor,2,9535,1155848,18385,Reject,7
1,Employer,238090,22,Yes,Normal,2,5,2,2,1,2,Condominium,10,Johor,1,5109,629295,11917,Reject,8
1,Employer,568466,10,No,Platinum,2,10,2,2,1,3,Condominium,10,Johor,1,9684,1010426,12328,Accept,7
1,Employer,236478,23,Yes,Normal,2,5,2,2,1,3,Condominium,10,Johor,1,6493,848730,11533,Accept,7
1,Employer,423875,24,No,Normal,2,5,2,2,1,3,Condominium,10,Johor,2,5459,524595,15290,Accept,8
1,Employer,244563,20,Yes,Normal,2,5,4,2,1,3,Condominium,10,Johor,2,7189,1251358,11151,Reject,6
1,Employer,577456,13,No,Normal,2,5,2,2,1,3,Condominium,10,Johor,3,11886,1183881,12738,Accept,8
1,Employer,328427,12,Yes,Gold,2,8,2,2,1,3,Condominium,10,Johor,2,7593,786953,10878,Reject,7
1,Employer,100443,14,No,Normal,2,5,2,2,1,1,Condominium,10,Johor,3,9947,561999,11513,Reject,8
1,Employer,748282,18,Yes,Platinum,2,5,2,2,1,2,Condominium,10,Johor,1,6209,672383,13049,Accept,6
1,Employer,175553,12,No,Not Specified,2,5,2,2,1,1,Condominium,10,Johor,2,9972,1394542,8265,Reject,9
1,Employer,196987,16,Yes,Gold,2,5,2,2,1,3,Condominium,10,Johor,1,6064,954301,16258,Reject,8
1,Employer,473425,23,No,Normal,2,5,2,2,1,3,Condominium,10,Johor,3,9805,927502,17751,Accept,6
1,Employer,210738,10,Yes,Normal,2,5,2,2,1,1,Condominium,10,Johor,1,7329,946444,15168,Reject,6
1,Employer,365684,15,No,Normal,2,5,3,2,2,1,Not Specified,10,Johor,1,11852,1308511,10653,Accept,6
1,Employer,508544,19,Yes,Normal,2,5,2,2,1,3,Condominium,10,Johor,3,9605,803230,13049,Accept,9
1,Employer,538698,11,No,Normal,2,5,2,2,1,3,Not Specified,10,Johor,2,7185,1330083,16984,Accept,8
1,Employer,247640,15,Yes,Normal,2,5,2,2,1,2,Condominium,10,Johor,2,6547,666752,11513,Accept,7
1,Employer,255874,22,No,Platinum,2,5,2,2,1,3,Condominium,10,Johor,2,8538,834522,11439,Accept,9
1,Employer,767690,17,Yes,Platinum,2,15,2,2,1,1,Condominium,10,Johor,2,10051,1227772,12280,Accept,8
1,Employer,249608,20,No,Gold,2,5,2,2,1,2,Condominium,10,Johor,1,9707,1011241,15707,Accept,7
1,Employer,379899,13,Yes,Gold,2,16,4,2,1,3,Condominium,10,Johor,2,8444,1413168,13576,Accept,8
1,Employer,251680,18,No,Gold,2,5,2,2,1,1,Condominium,10,Johor,2,6552,823047,12005,Reject,9
1,Employer,110747,15,Yes,Normal,2,5,4,2,1,3,Condominium,10,Johor,1,11154,1294348,18851,Reject,6
1,Employer,379448,18,No,Normal,2,5,2,2,1,1,Condominium,10,Johor,2,10817,818703,13049,Accept,7
1,Employer,362448,14,Yes,Normal,2,5,2,2,1,1,Condominium,10,Johor,1,3698,538308,14981,Reject,6
1,Employer,550775,24,No,Normal,2,15,2,2,1,1,Condominium,10,Johor,1,6425,481871,15957,Accept,8
1,Employer,511147,18,Yes,Normal,2,5,2,2,1,1,Condominium,10,Johor,2,10565,757268,17968,Reject,7
1,Employer,405343,11,No,Gold,2,5,2,2,1,1,Condominium,10,Johor,2,6116,746446,11513,Accept,6
1,Employer,527883,22,Yes,Normal,2,5,2,2,1,2,Condominium,10,Johor,1,7443,1409154,19932,Reject,7
1,Employer,503581,19,No,Normal,2,5,2,2,1,2,Condominium,10,Johor,1,6643,601169,17488,Accept,9
1,Employer,132350,18,Yes,Normal,2,5,2,2,1,1,Condominium,10,Johor,2,8848,1413238,14137,Accept,7
1,Employer,139803,14,No,Gold,2,5,2,2,1,2,Condominium,10,Johor,1,6583,937765,12078,Reject,7
1,Employer,332052,10,Yes,Normal,2,5,2,2,1,1,Condominium,10,Johor,2,10013,903515,10349,Accept,6
1,Employer,396011,20,No,Gold,2,6,2,2,1,2,Condominium,10,Johor,3,8626,439917,10707,Accept,6
1,Employer,565418,20,Yes,Gold,2,5,2,2,2,1,Condominium,10,Johor,1,10723,1179235,9137,Reject,6
1,Employer,220915,15,No,Platinum,2,5,2,2,1,3,Condominium,10,Johor,2,7816,598722,18803,Accept,7
1,Employer,238990,14,Yes,Normal,2,15,2,2,2,1,Condominium,10,Johor,1,7616,657335,12506,Reject,6
