CREDIT_CARD_EXCEED_MONTHS,LOAN_AMOUNT,LOAN_TENURE_YEAR,MORE_THAN_ONE_PRODUCTS,NUMBER_OF_DEPENDENTS,YEARS_TO_FINANCIAL_FREEDOM,NUMBER_OF_CREDIT_CARD_FACILITY,NUMBER_OF_PROPERTIES,NUMBER_OF_BANK_PRODUCTS,NUMBER_OF_LOAN_TO_APPROVE,YEARS_FOR_PROPERTY_TO_COMPLETION,NUMBER_OF_SIDE_INCOME,MONTHLY_SALARY,TOTAL_SUM_OF_LOAN,TOTAL_INCOME_FOR_JOIN_APPLICATION,SCORE,EMP_TYPE_Employee,EMP_TYPE_Employer,EMP_TYPE_Fresh Graduate,EMP_TYPE_Government,EMP_TYPE_Self-Employed,CC_TYPE_Gold,CC_TYPE_Normal,CC_TYPE_Not Specified,CC_TYPE_Platinum,PRO_TYPE_Bungalow,PRO_TYPE_Condominium,PRO_TYPE_Flat,PRO_TYPE_Not Specified,PRO_TYPE_Terrace,STATE_Johor,STATE_Kedah,STATE_Kuala Lumpur,STATE_Negeri Sembilan,STATE_Pulau Pinang,STATE_Sabah,STATE_Sarawak,STATE_Selangor,STATE_Terengganu,DECISION
1,423875,16,1,2,5,2,2,1,1,10,2,12262,853141,16025,7,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,605505,19,0,2,15,2,2,1,2,10,2,9251,882901,17082,9,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1,448361,15,1,2,5,2,2,2,3,10,2,4919,540489,12613,8,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,490216,20,0,2,5,4,2,1,1,10,1,4459,536727,10952,9,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,292728,14,1,2,5,2,2,1,2,10,3,5628,774695,11513,8,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,198118,20,0,2,5,2,2,1,2,10,2,11323,1350187,16349,7,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,226681,18,1,2,5,3,2,2,1,10,2,9653,615986,11172,7,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,667042,21,0,2,5,2,2,3,2,10,2,10603,1191243,7543,8,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,114428,24,1,2,5,2,2,2,2,10,1,11983,556822,12947,8,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,416654,12,0,2,5,2,2,1,1,10,2,9535,1155848,18385,7,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,238090,22,1,2,5,2,2,1,2,10,1,5109,629295,11917,8,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,568466,10,0,2,10,2,2,1,3,10,1,9684,1010426,12328,7,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,236478,23,1,2,5,2,2,1,3,10,1,6493,848730,11533,7,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,423875,24,0,2,5,2,2,1,3,10,2,5459,524595,15290,8,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,244563,20,1,2,5,4,2,1,3,10,2,7189,1251358,11151,6,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,577456,13,0,2,5,2,2,1,3,10,3,11886,1183881,12738,8,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,328427,12,1,2,8,2,2,1,3,10,2,7593,786953,10878,7,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,100443,14,0,2,5,2,2,1,1,10,3,9947,561999,11513,8,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,748282,18,1,2,5,2,2,1,2,10,1,6209,672383,13049,6,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,175553,12,0,2,5,2,2,1,1,10,2,9972,1394542,8265,9,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,196987,16,1,2,5,2,2,1,3,10,1,6064,954301,16258,8,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,473425,23,0,2,5,2,2,1,3,10,3,9805,927502,17751,6,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,210738,10,1,2,5,2,2,1,1,10,1,7329,946444,15168,6,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,365684,15,0,2,5,3,2,2,1,10,1,11852,1308511,10653,6,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1,508544,19,1,2,5,2,2,1,3,10,3,9605,803230,13049,9,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,538698,11,0,2,5,2,2,1,3,10,2,7185,1330083,16984,8,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1,247640,15,1,2,5,2,2,1,2,10,2,6547,666752,11513,7,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,255874,22,0,2,5,2,2,1,3,10,2,8538,834522,11439,9,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
